Project,,Project Description,,Project Link,,Forks,,Stars,,ISSUE ID,,ISSUE Description,,ISSUE Create Time,,Fix time,,Fix vision,,Commit ID,
apache/parquet-java,,"Apache Parquet is an open source, column-oriented data file format designed for efficient data storage and retrieval. It provides high performance compression and encoding schemes to handle complex data in bulk and is supported in many programming languages and analytics tools.",,https://github.com/apache/parquet-java,,1.5K,,3K,,#3398,,[Bug] Potential ClassLoader Leak: ThreadLocal.withInitial lambda in Binary.java pins ClassLoader causing Metaspace OOM,,2026.2.21,,N/A,,N/A,,N/A,
spring-projects/spring-boot,,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss. It takes an opinionated view of the Spring platform so that new and existing users can quickly get to the bits they need.

",,https://github.com/spring-projects/spring-boot,,41.9K,,80.3K,,#14562,,Share BinderConverter whenever possible,,2018.9.21,,2018.9.21,,2.1.X,, 2bc3d8d,
apache/activemq,,Apache ActiveMQ is a high performance Apache 2.0 licensed Message Broker. ActiveMQ supports several API and protocols:,,https://github.com/apache/activemq,,1.5K,,2.4K,,#1842,,[AMQ-9858] Support purging the first number of messages from a queue ,,2026.3.26,,N/A,,N/A,,N/A,
apache/activemq,,Apache ActiveMQ is a high performance Apache 2.0 licensed Message Broker. ActiveMQ supports several API and protocols:,,https://github.com/apache/activemq,,1.5K,,2.4K,,#1245,,[AMQ-9526] Upgrade Jolokia 2.0.3,,2024.7.10,,2024.7.10,,2.0.3,, 9ffbcd0 ,
bc-java,,"The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms, it was developed by the Legion of the Bouncy Castle, a registered Australian Charity, with a little help! The Legion, and the latest goings on with this package, can be found at https://www.bouncycastle.org.",,https://github.com/bcgit/bc-java,,1.2K,,2.6K,,#1841,,Inconsistent mapping for SLH-DSA ,,2024.9.18,,2024.9.24,,N/A,,694ba5d,
bc-java,,"The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms, it was developed by the Legion of the Bouncy Castle, a registered Australian Charity, with a little help! The Legion, and the latest goings on with this package, can be found at https://www.bouncycastle.org.",,https://github.com/bcgit/bc-java,,1.2K,,2.6K,,#342,,Register the whirlpool algorithm with its OID,,2018.5.14,,2028.5.15,,N/A,,160b06,
javassist/javassist,,Java bytecode engineering toolkit,,https://github.com/jboss-javassist/javassist,,720,,4.2K,,#412,,CannotCompileException: [source error] syntax error near l$lambda-0,,2022.5.7,,N/A,,N/A,,N/A,
javassist/javassist,,Java bytecode engineering toolkit,,https://github.com/jboss-javassist/javassist,,720,,4.2K,,#12,,$class is not available when inside static method ,,2014.7.4,,2015.1.2,,N/A,,N/A,
mybatis/mybatis-spring,,MyBatis-Spring adapter is an easy-to-use Spring Framework bridge for MyBatis sql mapping framework.,,https://github.com/mybatis/spring,,2.6K,,2.9K,,#1842,,Bump mockito-core from 3.2.0 to 3.2.4,,2019.12.17,,2019.12.18,,3.2.4,,de8316e ,
mybatis/mybatis-spring,,MyBatis-Spring adapter is an easy-to-use Spring Framework bridge for MyBatis sql mapping framework.,,https://github.com/mybatis/spring,,2.6K,,2.9K,,#321,,Support jdk11，when can upload mybatis 3.5.0? ,,2018.10.9,,2018.10.26,,N/A,,N/A,
